"Date","Time","Open","High","Low","Close","Up","Down","ZeroLine","3/10Line_2","16Line_2","ParCl","ParCl","Vol","Avg","PLOT1","MornDoji","EveDoji"
09/28/2020,20:10,3353.75,3355.00,3353.75,3354.75,295,239,0.00,0.00,0.00,3351.73,3348.75,534.00,518.10,0.00,0.00,3352.75
09/28/2020,20:15,3354.75,3357.00,3354.75,3357.00,642,487,0.00,0.00,0.00,3351.99,3348.88,1129.00,538.40,0.00,0.00,0.00
09/28/2020,20:20,3357.00,3357.00,3355.75,3357.00,355,354,0.00,0.00,0.00,3352.31,3349.04,709.00,566.80,0.00,0.00,0.00
09/28/2020,20:25,3357.00,3357.00,3355.25,3356.00,269,348,0.00,0.00,0.00,3352.61,3349.20,617.00,584.80,0.00,0.00,0.00
09/28/2020,20:30,3355.75,3356.75,3355.25,3355.50,464,224,0.00,0.00,0.00,3352.89,3349.35,688.00,639.00,0.00,0.00,0.00
09/28/2020,20:35,3355.75,3356.50,3355.00,3355.50,217,219,0.00,0.00,0.00,3353.15,3349.51,436.00,658.00,0.00,0.00,0.00
09/28/2020,20:40,3355.50,3358.00,3354.75,3358.00,632,369,0.00,0.00,0.00,3353.40,3349.66,1001.00,727.90,0.00,0.00,0.00
09/28/2020,20:45,3358.00,3358.00,3357.00,3357.50,198,209,0.00,0.00,0.00,3353.73,3349.84,407.00,700.30,0.00,0.00,0.00
09/28/2020,20:50,3357.50,3358.50,3357.25,3358.00,445,289,0.00,0.00,0.00,3354.04,3350.03,734.00,719.80,0.00,0.00,0.00
09/28/2020,20:55,3357.75,3358.25,3356.50,3356.75,279,316,0.00,0.00,0.00,3354.39,3350.24,595.00,685.00,0.00,0.00,0.00
